chr	pos	ref_base	strand	mod	WT2_depth	WT2_basecall_accuracy	WT2_mod_freq	WT2_mod_prob	KOM3_depth	KOM3_basecall_accuracy	KOM3_mod_freq	KOM3_mod_prob	WT1_depth	WT1_basecall_accuracy	WT1_mod_freq	WT1_mod_prob	KOM14_depth	KOM14_basecall_accuracy	KOM14_mod_freq	KOM14_mod_prob
chr4	155740821	A	-	m6A	222	0.977	0.459	0.8	105	0.981	0.162	0.767	53	0.981	0.434	0.8	116	0.983	0.267	0.8
chr4	155740874	A	-	m6A	159	0.975	0.484	0.8	88	0.989	0.136	0.85	32	1	0.5	0.717	94	0.979	0.181	0.8
chr4	155808670	A	+	m6A	556	0.987	0.142	0.767	220	1	0.009	0.783	108	1	0.185	0.75	241	0.992	0.054	0.7
chr4	155808699	A	+	m6A	549	0.987	0.262	0.833	218	0.986	0.028	0.85	105	0.952	0.419	0.883	236	0.996	0.11	0.867
chr4	155833056	A	+	m6A	388	1	0.338	0.867	192	1	0.167	0.8	114	1	0.421	0.867	208	1	0.13	0.867
chr4	155957266	A	+	m6A	203	0.995	0.212	0.667	73	0.986	0.082	0.767	42	1	0.214	0.8	111	0.982	0.126	0.633
chr4	155957462	A	+	m6A	313	0.997	0.351	0.8	157	1	0.159	0.8	95	0.989	0.295	0.85	181	0.989	0.249	0.767
chr4	155957528	A	+	m6A	307	0.993	0.121	0.7	160	1	0.031	0.667	94	0.989	0.16	0.767	171	1	0.058	0.8
chr4	156009919	A	+	m6A	292	0.955	0.442	0.8	160	0.994	0.212	0.767	130	0.962	0.4	0.833	159	0.975	0.289	0.767
chr5	3236898	A	+	m6A	905	0.99	0.086	0.733	362	0.992	0.014	0.6	275	0.985	0.105	0.733	515	1	0.021	0.7
chr5	8397383	A	-	m6A	155	0.994	0.497	0.8	41	0.976	0.366	0.767	31	1	0.355	0.8	78	0.987	0.397	0.767
chr5	20886636	A	+	m6A	61	0.934	0.344	0.833	35	1	0.229	0.9	34	0.941	0.471	0.733	37	0.892	0.243	0.767
chr5	21662500	A	+	m6A	142	0.979	0.275	0.8	53	0.962	0.113	0.783	49	1	0.367	0.9	90	0.989	0.144	0.867
chr5	21803625	A	+	m6A	668	0.993	0.096	0.9	408	0.993	0.015	0.833	237	0.987	0.101	0.817	374	0.995	0.024	0.767
chr5	22528268	A	-	m6A	213	0.986	0.296	0.8	100	1	0.07	0.7	83	1	0.337	0.833	77	1	0.182	0.8
chr5	23839809	A	-	m6A	964	0.997	0.071	0.767	473	1	0.006	0.8	326	1	0.086	0.75	581	0.997	0.034	0.8
chr5	24565651	A	-	m6A	345	0.974	0.426	0.833	137	0.978	0.27	0.8	115	0.965	0.557	0.883	184	0.995	0.37	0.8
chr5	24565703	A	-	m6A	335	0.976	0.057	0.8	121	0.983	0.017	0.933	96	0.979	0.052	0.767	179	0.972	0.006	0.533
chr5	24565827	A	-	m6A	248	0.964	0.085	0.767	70	0.971	0.029	0.633	60	1	0.083	0.867	126	0.96	0.032	0.833
chr5	24709511	A	+	m6A	66	0.985	0.182	0.783	32	0.969	0	NA	25	0.96	0.2	0.833	40	1	0.05	0.667
chr5	24710274	A	+	m6A	51	0.922	0.373	0.867	39	0.974	0.051	0.817	31	1	0.581	0.783	45	0.956	0.178	0.85
chr5	28415939	A	+	m6A	89	0.966	0.18	0.717	31	1	0.032	0.533	33	0.909	0.152	0.833	42	1	0.119	0.633
chr5	30119441	A	-	m6A	262	0.996	0.088	0.733	149	1	0.007	0.767	99	1	0.111	0.767	155	1	0.032	0.867
chr5	30674204	A	+	m6A	547	0.982	0.13	0.767	260	0.992	0.054	0.65	196	0.959	0.148	0.7	281	0.979	0.06	0.8
chr5	30877221	A	+	m6A	97	0.948	0.082	0.75	87	0.966	0.034	0.6	39	0.949	0.077	0.667	49	0.939	0.082	0.667
chr5	30877238	A	+	m6A	110	0.982	0.218	0.85	91	0.967	0.044	0.817	44	0.932	0.068	0.833	62	1	0.113	0.767
chr5	31198721	A	+	m6A	196	1	0.082	0.717	96	0.99	0	NA	57	0.982	0.14	0.683	102	1	0.039	0.817
chr5	31202817	A	-	m6A	555	0.993	0.195	0.833	240	0.983	0.046	0.667	152	0.98	0.23	0.9	324	0.988	0.074	0.817
chr5	31203027	A	-	m6A	448	0.973	0.277	0.833	162	0.975	0.049	0.717	103	0.951	0.233	0.8	259	0.977	0.162	0.717
chr5	31203034	A	-	m6A	465	0.942	0.138	0.933	164	0.915	0.006	0.967	109	0.927	0.138	0.833	260	0.954	0.054	0.833
chr5	31203054	A	-	m6A	414	0.971	0.357	0.767	148	0.973	0.216	0.85	92	0.957	0.337	0.8	237	0.979	0.253	0.8
chr5	31203085	A	-	m6A	408	0.98	0.105	0.733	136	0.993	0.029	0.7	84	0.988	0.179	0.8	224	0.982	0.027	0.85
chr5	31511245	A	+	m6A	312	0.923	0.138	0.733	231	0.952	0.104	0.817	100	0.97	0.19	0.667	168	0.964	0.149	0.7
chr5	32492497	A	+	m6A	218	0.936	0.069	0.7	57	0.965	0.018	0.733	78	0.897	0.077	0.8	144	0.931	0.014	0.833
chr5	33027929	A	+	m6A	310	0.994	0.1	0.8	99	1	0.01	0.933	70	0.971	0.1	0.867	159	0.994	0.031	0.867
chr5	33372747	A	+	m6A	90	1	0.278	0.767	27	1	0.37	0.85	25	1	0.36	0.7	40	0.975	0.275	0.833
chr5	33373048	A	+	m6A	146	0.973	0.562	0.8	70	0.971	0.371	0.767	48	0.979	0.542	0.817	76	0.974	0.382	0.767
chr5	33600594	A	-	m6A	128	0.992	0.164	0.833	91	0.967	0.044	0.733	48	0.979	0.229	0.767	62	1	0.177	0.833
chr5	34353081	A	+	m6A	264	0.992	0.091	0.783	85	0.988	0.035	0.7	78	1	0.231	0.683	159	1	0.057	0.7
chr5	34632105	A	+	m6A	202	0.995	0.223	0.833	79	1	0.038	0.767	100	1	0.22	0.667	144	0.993	0.146	0.7
chr5	35093079	A	-	m6A	395	0.997	0.547	0.9	384	0.997	0.302	0.9	182	0.984	0.61	0.9	331	0.994	0.344	0.9
chr5	35093084	A	-	m6A	386	0.946	0.207	0.8	379	0.968	0.087	0.833	178	0.966	0.27	0.8	328	0.966	0.134	0.767
chr5	35093160	A	-	m6A	406	1	0.406	0.8	388	0.99	0.307	0.767	187	0.989	0.422	0.833	336	0.991	0.336	0.767
chr5	36471423	A	+	m6A	361	0.989	0.407	0.8	222	0.995	0.113	0.9	87	0.989	0.437	0.833	217	0.995	0.203	0.85
chr5	36471559	A	+	m6A	402	0.998	0.169	0.767	258	0.996	0.047	0.85	105	0.981	0.21	0.8	247	1	0.093	0.767
chr5	36795068	A	-	m6A	988	0.981	0.218	0.833	600	0.997	0.037	0.867	411	0.973	0.209	0.867	623	0.984	0.087	0.767
chr5	36795335	A	-	m6A	515	0.994	0.159	0.817	178	1	0.051	0.8	153	0.987	0.314	0.8	328	1	0.104	0.767
chr5	36795385	A	-	m6A	406	0.956	0.34	0.767	126	0.96	0.175	0.767	116	0.957	0.448	0.75	249	0.968	0.225	0.767
chr5	38668662	A	-	m6A	132	1	0.379	0.783	79	1	0.177	0.75	52	1	0.365	0.8	54	1	0.333	0.817
chr5	45434155	A	-	m6A	363	0.997	0.132	0.767	146	1	0.007	0.933	96	1	0.094	0.767	195	1	0.036	0.767
chr5	45525423	A	+	m6A	257	0.988	0.416	0.8	124	0.992	0.145	0.8	78	1	0.474	0.833	154	1	0.253	0.833
chr5	52866673	A	+	m6A	164	0.982	0.293	0.767	83	1	0.072	0.717	41	0.976	0.22	0.8	99	1	0.121	0.733
chr5	64822956	A	+	m6A	87	0.966	0.471	0.8	52	0.962	0.288	0.867	52	0.962	0.327	0.733	101	0.99	0.287	0.833
chr5	64832649	A	+	m6A	107	1	0.056	0.75	36	1	0	NA	34	1	0.059	0.783	61	0.984	0	NA
chr5	65262292	A	-	m6A	100	0.96	0.06	0.75	38	0.974	0.026	0.867	40	0.95	0.075	0.733	76	1	0.039	0.667
chr5	65409042	A	+	m6A	119	0.983	0.529	0.833	59	1	0.407	0.867	47	1	0.766	0.767	58	1	0.552	0.783
chr5	65594920	A	+	m6A	389	0.995	0.067	0.75	124	1	0.008	0.867	114	0.991	0.079	0.833	176	1	0	NA
chr5	65595080	A	+	m6A	361	0.981	0.094	0.867	118	1	0.025	0.867	113	1	0.106	0.833	168	0.994	0.042	0.667
chr5	67355589	A	+	m6A	80	1	0.138	0.667	39	1	0.026	0.967	38	0.947	0.079	0.733	40	1	0.025	0.833
chr5	73313563	A	+	m6A	165	0.994	0.382	0.9	54	1	0.056	0.967	40	1	0.425	0.9	66	1	0.061	0.633
chr5	73313638	A	+	m6A	245	1	0.151	0.8	97	0.969	0.031	0.567	64	1	0.125	0.833	112	1	0.054	0.733
chr5	73313751	A	+	m6A	296	0.983	0.145	0.8	148	0.993	0.02	0.567	103	0.971	0.204	0.733	154	0.994	0.058	0.833
chr5	76915181	A	-	m6A	185	1	0.059	0.633	55	1	0	NA	64	0.984	0.078	0.633	98	0.99	0.01	0.733
chr5	76915260	A	-	m6A	164	0.976	0.341	0.767	49	0.959	0.204	0.7	56	0.964	0.411	0.833	87	0.943	0.241	0.8
chr5	76915371	A	-	m6A	161	0.994	0.118	0.9	41	1	0.024	0.767	47	1	0.191	0.733	86	0.988	0.047	0.833
chr5	76967288	A	+	m6A	1141	0.989	0.08	0.733	413	0.983	0.012	0.767	409	0.971	0.095	0.7	697	0.983	0.037	0.717
chr5	88555483	A	+	m6A	102	0.971	0.363	0.867	40	1	0.225	0.7	31	0.903	0.258	0.833	65	1	0.262	0.767
chr5	88555843	A	+	m6A	249	0.88	0.112	0.85	149	0.926	0.067	0.717	72	0.875	0.111	0.767	160	0.869	0.106	0.733
chr5	88659758	A	-	m6A	221	0.986	0.1	0.75	108	0.991	0.046	0.733	57	0.982	0.263	0.867	123	0.984	0.065	0.767
chr5	92052473	A	-	m6A	502	0.996	0.418	0.8	204	1	0.225	0.8	117	0.991	0.564	0.867	303	0.993	0.261	0.8
chr5	92415711	A	-	m6A	132	0.992	0.076	0.583	50	1	0.02	0.833	38	1	0.079	0.533	65	1	0	NA
chr5	100034902	A	-	m6A	471	0.987	0.146	0.7	148	0.993	0.027	0.617	193	0.984	0.145	0.633	296	0.993	0.057	0.667
chr5	100068359	A	+	m6A	109	0.991	0.339	0.767	37	1	0.054	0.733	36	1	0.278	0.7	89	0.989	0.101	0.8
chr5	100361996	A	-	m6A	200	0.995	0.11	0.833	54	0.981	0	NA	70	1	0.114	0.7	91	0.978	0.011	0.533
chr5	103855093	A	+	m6A	156	0.974	0.192	0.683	83	1	0.048	0.617	80	0.988	0.188	0.8	99	1	0.071	0.733
chr5	103855203	A	+	m6A	165	0.988	0.358	0.867	82	1	0.122	0.767	80	1	0.35	0.683	97	1	0.237	0.733
chr5	103989852	A	-	m6A	110	0.964	0.164	0.733	61	0.967	0.033	0.9	54	0.981	0.167	0.767	78	0.962	0.038	0.667
chr5	103990029	A	-	m6A	102	0.99	0.451	0.85	53	1	0.151	0.867	51	0.961	0.569	0.867	71	1	0.155	0.9
chr5	104065276	A	+	m6A	122	0.934	0.492	0.733	68	0.941	0.132	0.633	35	1	0.571	0.833	50	0.96	0.22	0.733
chr5	104584324	A	+	m6A	67	0.925	0.164	0.9	27	0.963	0.111	0.733	29	0.862	0.241	0.767	45	1	0.178	0.683
chr5	108107173	A	+	m6A	82	0.988	0.134	0.733	25	1	0	NA	40	1	0.125	0.7	39	1	0.051	0.783
chr5	108107442	A	+	m6A	107	1	0.065	0.667	42	1	0	NA	69	1	0.159	0.733	52	1	0.019	0.8
chr5	110259500	A	-	m6A	70	1	0.086	0.683	34	1	0.029	0.767	32	1	0.094	0.767	55	1	0	NA
chr5	110429928	A	-	m6A	193	1	0.062	0.833	110	1	0.009	0.767	85	0.988	0.059	0.733	149	0.993	0.027	0.6
chr5	110430078	A	-	m6A	190	0.953	0.095	0.683	111	0.964	0.045	0.833	88	0.955	0.136	0.767	144	0.972	0.083	0.717
chr5	110430286	A	-	m6A	106	0.991	0.632	0.833	31	0.968	0.387	0.867	29	1	0.517	0.8	80	1	0.388	0.867
chr5	110785014	A	-	m6A	103	0.961	0.087	0.833	32	1	0	NA	34	1	0.059	0.833	58	1	0	NA
chr5	111388217	A	+	m6A	275	0.993	0.225	0.75	183	1	0.055	0.65	134	1	0.164	0.8	162	1	0.043	0.633
chr5	112315066	A	+	m6A	90	0.989	0.189	0.8	72	1	0.056	0.65	30	1	0.2	0.85	62	1	0	NA
chr5	112337590	A	-	m6A	66	0.97	0.167	0.9	65	0.938	0.046	0.8	25	0.92	0.28	0.7	42	0.952	0.071	0.967
chr5	113778108	A	+	m6A	103	0.99	0.33	0.833	34	0.941	0.088	0.6	37	0.973	0.405	0.733	66	0.97	0.182	0.8
chr5	113778152	A	+	m6A	111	0.991	0.414	0.733	41	1	0.171	0.8	40	1	0.45	0.717	76	0.987	0.197	0.733
chr5	113842703	A	-	m6A	226	0.965	0.478	0.833	101	0.96	0.05	0.867	83	0.867	0.422	0.767	132	0.97	0.265	0.867
chr5	113842896	A	-	m6A	147	0.918	0.252	0.8	50	0.92	0.16	0.85	50	0.9	0.24	0.783	97	0.938	0.165	0.717
chr5	114124132	A	-	m6A	113	0.991	0.115	0.833	63	1	0	NA	39	1	0.128	0.667	64	0.953	0.016	0.633
chr5	114124153	A	-	m6A	113	0.991	0.088	0.717	60	1	0.033	0.7	38	0.974	0.105	0.9	62	1	0.032	0.7
chr5	114250506	A	+	m6A	103	0.99	0.379	0.767	47	0.979	0.34	0.733	62	1	0.306	0.833	64	1	0.328	0.867
chr5	114363805	A	-	m6A	101	0.931	0.099	0.667	66	0.955	0.015	0.633	53	0.849	0.075	0.733	55	0.927	0.036	0.733
chr5	114421123	A	+	m6A	120	0.967	0.15	0.75	76	0.987	0.053	0.8	48	0.979	0.208	0.683	69	0.986	0.087	0.683
chr5	114948201	A	+	m6A	105	0.952	0.467	0.733	43	1	0.349	0.833	44	0.977	0.364	0.833	50	0.96	0.42	0.767
chr5	115098045	A	+	m6A	70	0.986	0.114	0.683	28	1	0.036	0.733	34	0.971	0.059	0.733	44	0.977	0.068	0.567
chr5	115098062	A	+	m6A	74	0.986	0.068	0.667	31	1	0.032	0.633	36	1	0.083	0.667	46	1	0.022	0.567
chr5	115098733	A	+	m6A	127	0.984	0.063	0.65	106	1	0.019	0.65	57	1	0.07	0.833	100	1	0.02	0.683
chr5	115110761	A	-	m6A	139	0.957	0.324	0.867	47	1	0.128	0.933	48	0.979	0.417	0.917	86	0.965	0.128	0.867
chr5	115110839	A	-	m6A	104	0.942	0.067	0.8	29	1	0	NA	33	0.97	0.091	0.933	67	0.896	0.045	0.867
chr5	115122833	A	-	m6A	104	1	0.26	0.833	52	1	0.077	0.783	46	1	0.196	0.667	43	1	0.07	0.6
chr5	115147256	A	-	m6A	149	0.919	0.141	0.833	118	0.992	0.042	0.9	52	0.904	0.154	0.817	101	0.97	0.079	0.733
chr5	115298622	A	-	m6A	1031	0.968	0.435	0.767	355	0.969	0.124	0.783	268	0.989	0.418	0.767	560	0.955	0.214	0.767
chr5	115298649	A	-	m6A	1040	0.979	0.516	0.833	362	0.989	0.157	0.8	273	0.982	0.586	0.833	582	0.973	0.277	0.8
chr5	115298687	A	-	m6A	1036	0.981	0.371	0.783	367	0.981	0.155	0.733	269	0.985	0.364	0.783	574	0.983	0.221	0.8
chr5	115647017	A	+	m6A	124	1	0.121	0.767	41	1	0.024	0.867	41	0.976	0.098	0.667	52	1	0.058	0.867
chr5	115647076	A	+	m6A	127	1	0.22	0.8	44	1	0.136	0.667	41	0.976	0.317	0.867	54	1	0.056	0.9
chr5	117091759	A	-	m6A	207	0.976	0.126	0.7	133	0.985	0.015	0.633	74	0.973	0.162	0.683	91	0.978	0.044	0.833
chr5	117092091	A	-	m6A	115	0.904	0.157	0.867	52	0.923	0.077	0.85	31	0.871	0.129	0.733	46	0.891	0.065	0.767
chr5	117092710	A	-	m6A	74	1	0.541	0.767	61	1	0.164	0.817	26	1	0.462	0.717	44	1	0.295	0.867
chr5	117092712	A	-	m6A	102	1	0.137	0.767	74	1	0.027	0.8	38	1	0.105	0.85	62	1	0.081	0.8
chr5	119684459	A	+	m6A	170	1	0.082	0.667	84	1	0.012	0.8	87	1	0.126	0.7	154	1	0.032	0.633
chr5	120198811	A	+	m6A	152	0.987	0.283	0.767	56	0.982	0.196	0.733	40	0.95	0.3	0.683	68	0.956	0.25	0.767
chr5	120485369	A	-	m6A	40	1	0.075	0.567	26	1	0	NA	28	1	0.107	0.6	33	1	0.152	0.567
chr5	120627347	A	+	m6A	444	0.98	0.322	0.767	273	0.989	0.22	0.783	177	0.977	0.356	0.767	240	0.988	0.304	0.733
chr5	120627437	A	+	m6A	372	0.887	0.059	0.8	334	0.97	0.015	0.933	168	0.845	0.054	0.833	241	0.909	0.021	0.767
chr5	120627443	A	+	m6A	422	0.983	0.23	0.767	308	0.981	0.166	0.733	188	0.984	0.271	0.733	233	0.957	0.185	0.8
chr5	121439920	A	+	m6A	85	0.976	0.118	0.65	33	1	0.091	0.767	42	1	0.214	0.733	66	0.985	0.03	0.85
chr5	121440073	A	+	m6A	85	1	0.329	0.667	31	1	0.323	0.85	39	0.974	0.385	0.833	67	1	0.328	0.833
chr5	121444933	A	-	m6A	320	0.975	0.472	0.867	194	0.985	0.309	0.867	119	0.983	0.471	0.833	194	0.974	0.387	0.833
chr5	121445005	A	-	m6A	349	0.92	0.178	0.733	198	0.975	0.04	0.8	122	0.926	0.156	0.7	205	0.917	0.102	0.7
chr5	121445212	A	-	m6A	204	0.941	0.314	0.833	102	0.951	0.147	0.733	71	0.972	0.352	0.8	126	0.984	0.246	0.9
chr5	121445482	A	-	m6A	92	0.978	0.196	0.7	36	0.944	0.111	0.833	32	1	0.156	0.767	49	0.98	0.082	0.75
chr5	122363195	A	+	m6A	120	1	0.183	0.767	46	1	0.022	0.567	37	1	0.189	0.767	77	0.974	0.026	0.65
chr5	122444091	A	+	m6A	67	0.97	0.328	0.867	27	0.963	0.111	0.567	31	0.935	0.516	0.85	47	1	0.383	0.817
chr5	122444121	A	+	m6A	72	0.917	0.444	0.8	35	1	0.171	0.8	41	0.829	0.488	0.9	60	0.967	0.233	0.833
chr5	122444349	A	+	m6A	151	0.98	0.172	0.767	87	1	0.115	0.8	99	0.98	0.263	0.8	100	0.99	0.12	0.733
chr5	122787801	A	-	m6A	1103	0.996	0.112	0.8	754	1	0.024	0.75	558	0.993	0.116	0.8	644	0.997	0.045	0.8
chr5	123728967	A	-	m6A	199	0.985	0.075	0.767	63	1	0.063	0.8	67	1	0.075	0.733	137	0.993	0.044	0.733
chr5	123728978	A	-	m6A	195	0.99	0.077	0.833	62	1	0.032	0.917	69	1	0.087	0.8	133	0.992	0.045	0.717
chr5	124369027	A	-	m6A	62	0.984	0.323	0.783	40	0.975	0.05	0.65	44	0.932	0.318	0.85	34	0.971	0.235	0.817
chr5	124571069	A	-	m6A	163	0.988	0.319	0.733	70	1	0.186	0.767	34	1	0.412	0.867	67	0.985	0.104	0.733
chr5	125017255	A	-	m6A	134	1	0.231	0.7	65	0.985	0.277	0.767	60	0.983	0.183	0.767	76	1	0.224	0.7
chr5	125017326	A	-	m6A	133	0.955	0.218	0.667	68	0.971	0.132	0.6	62	0.968	0.226	0.767	73	0.973	0.11	0.8
chr5	125017417	A	-	m6A	127	0.992	0.37	0.8	54	1	0.204	0.867	56	0.982	0.429	0.767	72	1	0.347	0.8
chr5	125017537	A	-	m6A	78	0.885	0.064	0.6	31	0.806	0	NA	37	0.838	0.054	0.633	53	0.887	0.038	0.733
chr5	125414580	A	-	m6A	71	0.93	0.239	0.8	41	0.951	0.049	0.767	33	1	0.303	0.767	52	1	0.115	0.683
chr5	129023001	A	+	m6A	823	0.961	0.282	0.767	303	0.977	0.162	0.767	273	0.967	0.297	0.767	396	0.977	0.144	0.8
chr5	129023059	A	+	m6A	851	0.987	0.113	0.733	309	0.994	0.019	0.833	275	0.985	0.135	0.733	402	0.988	0.05	0.717
chr5	129718420	A	+	m6A	173	0.994	0.457	0.867	85	0.988	0.188	0.85	43	1	0.605	0.833	100	1	0.3	0.833
chr5	129845928	A	+	m6A	759	0.96	0.544	0.833	181	0.989	0.199	0.783	151	0.98	0.589	0.8	368	0.962	0.307	0.833
chr5	129881323	A	-	m6A	2384	0.962	0.068	0.867	1188	0.955	0.014	0.867	695	0.96	0.083	0.817	1429	0.958	0.029	0.8
chr5	130243525	A	+	m6A	160	1	0.1	0.767	107	1	0.009	0.667	69	1	0.087	0.733	87	1	0.034	0.767
chr5	134148251	A	-	m6A	121	0.975	0.182	0.8	77	0.987	0.091	0.8	57	1	0.228	0.733	81	1	0.074	0.717
chr5	134148364	A	-	m6A	110	1	0.318	0.8	64	1	0.125	0.667	55	0.982	0.2	0.833	76	1	0.092	0.833
chr5	134598163	A	+	m6A	675	0.991	0.323	0.8	403	0.993	0.122	0.7	272	0.993	0.346	0.767	376	0.995	0.202	0.8
chr5	134598263	A	+	m6A	576	0.903	0.106	0.767	348	0.908	0.006	0.75	223	0.865	0.085	0.733	333	0.925	0.027	0.733
chr5	134945225	A	-	m6A	295	1	0.064	0.767	91	1	0.022	0.933	135	1	0.067	0.833	178	1	0.067	0.833
chr5	135012050	A	+	m6A	140	0.993	0.236	0.733	121	1	0.017	0.717	62	1	0.226	0.817	86	1	0.07	0.783
chr5	135053231	A	-	m6A	257	0.961	0.49	0.833	131	0.954	0.16	0.9	60	0.95	0.467	0.9	122	0.967	0.295	0.75
chr5	135643942	A	+	m6A	43	1	0.14	0.9	41	1	0.024	0.667	43	1	0.186	0.817	40	1	0.1	0.767
chr5	135644061	A	+	m6A	46	1	0.196	0.8	41	1	0.049	0.95	45	1	0.289	0.9	39	0.974	0.103	0.783
chr5	135735067	A	+	m6A	143	0.965	0.224	0.9	62	1	0.081	0.767	62	1	0.226	0.8	99	0.99	0.101	0.817
chr5	135735167	A	+	m6A	135	0.97	0.267	0.7	62	0.984	0.032	0.633	58	1	0.259	0.767	98	0.99	0.061	0.833
chr5	135735172	A	+	m6A	143	0.993	0.07	0.933	63	0.984	0	NA	62	0.952	0.065	0.983	97	0.99	0.01	1
chr5	135735696	A	-	m6A	148	0.993	0.331	0.867	158	0.994	0.063	0.733	118	0.983	0.458	0.8	126	1	0.087	0.867
chr5	135790186	A	+	m6A	1425	0.993	0.146	0.8	779	0.999	0.031	0.8	666	0.994	0.168	0.8	803	0.991	0.046	0.833
chr5	136122910	A	+	m6A	235	0.979	0.055	0.733	121	1	0.008	0.533	57	1	0.088	0.833	115	0.983	0	NA
chr5	136181316	A	-	m6A	133	0.97	0.105	0.683	93	0.957	0.011	0.767	42	0.976	0.095	0.75	80	0.95	0.013	0.733
chr5	136982254	A	-	m6A	323	1	0.375	0.767	217	1	0.092	0.767	108	1	0.37	0.8	154	1	0.201	0.767
chr5	136996452	A	+	m6A	82	0.976	0.28	0.767	76	0.961	0.039	0.6	36	0.972	0.139	0.8	63	0.984	0.175	0.833
chr5	136996467	A	+	m6A	82	0.988	0.415	0.783	74	1	0.041	0.767	35	1	0.286	0.767	63	1	0.27	0.833
chr5	137501626	A	-	m6A	110	0.964	0.109	0.767	112	0.973	0.045	0.7	28	0.964	0.321	0.967	78	0.936	0.013	0.667
chr5	137527613	A	+	m6A	72	0.917	0.264	0.7	26	1	0	NA	44	0.932	0.25	0.833	42	0.976	0.119	0.667
chr5	137527735	A	+	m6A	86	0.965	0.093	0.883	38	1	0	NA	62	0.968	0.097	0.767	54	0.981	0.056	0.833
chr5	137528528	A	-	m6A	382	0.995	0.099	0.8	150	1	0.027	0.667	162	1	0.105	0.767	221	1	0.036	0.85
chr5	137640956	A	+	m6A	109	0.991	0.312	0.733	57	0.947	0.053	0.733	50	0.98	0.2	0.75	51	0.961	0.216	0.733
chr5	137642775	A	+	m6A	98	0.959	0.388	0.883	68	0.985	0.074	0.867	32	0.938	0.344	0.7	46	0.978	0.174	0.8
chr5	137782049	A	-	m6A	137	0.985	0.394	0.85	108	0.981	0.139	0.8	72	0.972	0.431	0.833	85	0.965	0.271	0.733
chr5	137782060	A	-	m6A	139	0.863	0.137	0.733	107	0.897	0.093	0.717	68	0.765	0.147	0.667	90	0.9	0.1	0.733
chr5	137782187	A	-	m6A	140	0.964	0.421	0.8	104	0.971	0.394	0.767	65	0.938	0.477	0.767	87	1	0.402	0.767
chr5	138163864	A	+	m6A	741	0.989	0.305	0.867	476	0.998	0.063	0.8	312	0.99	0.391	0.9	373	0.981	0.166	0.783
chr5	138163927	A	+	m6A	774	0.97	0.067	0.7	486	0.986	0.014	0.733	321	0.978	0.093	0.767	376	0.973	0.019	0.767
chr5	138178794	A	-	m6A	136	0.978	0.162	0.833	75	0.92	0.013	0.533	58	0.966	0.155	0.833	91	0.967	0.044	0.9
chr5	138178826	A	-	m6A	138	0.993	0.261	0.733	77	1	0.078	0.7	61	1	0.311	0.767	91	1	0.055	0.9
chr5	138259317	A	+	m6A	210	0.99	0.114	0.783	162	1	0.012	0.75	59	1	0.068	0.883	146	1	0.014	0.7
chr5	139337894	A	-	m6A	103	1	0.107	0.7	87	1	0.057	0.6	52	0.981	0.115	0.6	58	1	0.086	0.633
chr5	139338059	A	-	m6A	95	0.947	0.274	0.783	83	0.976	0.181	0.767	47	0.957	0.404	0.767	56	1	0.339	0.733
chr5	139338069	A	-	m6A	90	1	0.056	0.667	79	0.949	0	NA	43	0.953	0.07	0.767	50	0.92	0.02	0.933
chr5	139359967	A	-	m6A	85	0.988	0.306	0.783	43	1	0.07	0.567	33	1	0.515	0.833	39	0.974	0.179	0.733
chr5	139823780	A	-	m6A	111	1	0.369	0.767	64	0.969	0.109	0.767	32	0.969	0.344	0.8	71	1	0.155	0.733
chr5	140327774	A	-	m6A	100	0.96	0.28	0.7	54	0.981	0.278	0.8	25	0.96	0.16	0.75	50	1	0.32	0.667
chr5	140327877	A	-	m6A	104	0.99	0.385	0.833	59	1	0.102	0.833	26	0.923	0.269	0.733	55	1	0.2	0.767
chr5	140337755	A	+	m6A	126	0.992	0.397	0.767	68	1	0.206	0.8	26	1	0.423	0.767	59	1	0.271	0.817
chr5	140337823	A	+	m6A	142	0.761	0.085	0.717	75	0.867	0.027	0.767	31	0.935	0.129	0.717	67	0.851	0.03	0.733
chr5	140338091	A	+	m6A	108	0.991	0.12	0.7	60	1	0.083	0.633	31	1	0.097	0.767	75	1	0.04	0.867
chr5	140442958	A	+	m6A	862	0.984	0.128	0.817	423	0.988	0.033	0.767	281	0.989	0.199	0.8	474	0.987	0.08	0.817
chr5	140443192	A	+	m6A	1605	0.986	0.275	0.733	1143	0.983	0.134	0.733	708	0.986	0.298	0.733	887	0.977	0.203	0.7
chr5	140524875	A	+	m6A	65	1	0.477	0.8	42	1	0.476	0.867	25	1	0.44	0.833	40	0.95	0.45	0.817
chr5	140524952	A	+	m6A	64	0.891	0.125	0.767	55	0.945	0.036	0.75	35	0.886	0.2	0.667	50	0.92	0.08	0.783
chr5	142903533	A	-	m6A	3285	0.995	0.166	0.8	1012	0.994	0.027	0.8	898	0.991	0.2	0.767	1712	0.996	0.074	0.767
chr5	142903793	A	-	m6A	514	0.979	0.214	0.767	119	0.975	0.05	0.717	107	0.963	0.112	0.783	255	0.973	0.129	0.767
chr5	142972243	A	+	m6A	234	0.987	0.056	0.633	41	1	0	NA	48	0.938	0.083	0.683	121	1	0.025	0.933
chr5	142972538	A	+	m6A	581	0.923	0.133	0.733	234	0.949	0.038	0.733	115	0.93	0.226	0.633	300	0.933	0.04	0.65
chr5	142991180	A	-	m6A	97	0.969	0.196	0.833	61	0.984	0	NA	35	1	0.229	0.75	72	0.986	0.028	0.733
